UserID,ProductID,ReviewDate,Review,StarsAssigned
53e3f4e6-cde8-47b7-8ce8-26d894d40b3b,3,2/2/2021,"It’s the best post-apocalyptic CRPG I’ve played since Fallout: New Vegas, and one of the better RPGs I’ve played in a while.",5
6135f381-364d-4d2a-9f84-ef448b4c711c,5,20/3/2020,"Soulful, technically proficient and at times almost tearfully beautiful.",5
6135f381-364d-4d2a-9f84-ef448b4c711c,9,20/3/2020,Enderal is a deeply satisfying game that is as masterful as it is impressive.,5
f7f6b505-2706-4fe3-8e38-ba491bee5617,11,9/9/2020,The perfect game to end the saga. The mainstory is pretty straight forward and not too stretched out.,4
0ada544f-1459-40a1-aba5-ea4929628ef8,8,18/12/2020,"Cartel Tycoon is an Early Access game, but even so, it's sleek and visually polished.",5
0ada544f-1459-40a1-aba5-ea4929628ef8,18,18/12/2020,The gameplay of It Takes Two fares better than its writing. We need a break from this divorce game.,1
b1e7701f-839c-4e64-97f8-0a2439ecec45,10,10/1/2021,If you have ever liked tower defense games this is for you.,4
b1e7701f-839c-4e64-97f8-0a2439ecec45,12,10/1/2021,"Forza Horizon 4 is remarkable game. It's a racer for everybody, but with enough depth and difficulty to satisfy experienced gamers.",4
b1e7701f-839c-4e64-97f8-0a2439ecec45,14,10/1/2021,This game made me cry.,2
9227ef23-8870-4b25-a0be-dc20056bc07a,20,20/1/2021,"Capturing exactly what makes the genre tick, this is perhaps the best looter-shooter game since Borderlands.",5
